timestamp,service,desired,current,target_cpu,observed_cpu
2026-05-21T21:53:58Z,checkoutservice,0,0,70,0
2026-05-21T21:53:58Z,frontend,0,0,70,0
2026-05-21T21:53:58Z,recommendationservice,0,0,70,144
2026-05-21T21:53:58Z,web-hpa,2,2,50,0
2026-05-21T21:54:24Z,checkoutservice,1,1,70,12
2026-05-21T21:54:24Z,frontend,3,3,70,184
2026-05-21T21:54:24Z,recommendationservice,3,3,70,148
2026-05-21T21:54:24Z,web-hpa,2,2,50,0
2026-05-21T21:54:43Z,checkoutservice,1,1,70,12
2026-05-21T21:54:43Z,frontend,3,3,70,184
2026-05-21T21:54:43Z,recommendationservice,3,3,70,152
2026-05-21T21:54:43Z,web-hpa,2,2,50,0
2026-05-21T21:55:02Z,checkoutservice,1,1,70,9
2026-05-21T21:55:02Z,frontend,3,3,70,61
2026-05-21T21:55:02Z,recommendationservice,3,3,70,48
2026-05-21T21:55:02Z,web-hpa,2,2,50,0
2026-05-21T21:55:24Z,checkoutservice,1,1,70,10
2026-05-21T21:55:24Z,frontend,3,3,70,58
2026-05-21T21:55:24Z,recommendationservice,3,3,70,48
2026-05-21T21:55:24Z,web-hpa,2,2,50,0
2026-05-21T21:55:44Z,checkoutservice,1,1,70,11
2026-05-21T21:55:44Z,frontend,3,3,70,63
2026-05-21T21:55:44Z,recommendationservice,3,3,70,53
2026-05-21T21:55:44Z,web-hpa,2,2,50,0
2026-05-21T21:56:03Z,checkoutservice,1,1,70,11
2026-05-21T21:56:03Z,frontend,3,3,70,63
2026-05-21T21:56:03Z,recommendationservice,3,3,70,51
2026-05-21T21:56:03Z,web-hpa,2,2,50,0
2026-05-21T21:56:22Z,checkoutservice,1,1,70,12
2026-05-21T21:56:22Z,frontend,3,3,70,62
2026-05-21T21:56:22Z,recommendationservice,3,3,70,51
2026-05-21T21:56:22Z,web-hpa,2,2,50,0
2026-05-21T21:56:42Z,checkoutservice,1,1,70,12
2026-05-21T21:56:42Z,frontend,3,3,70,62
2026-05-21T21:56:42Z,recommendationservice,3,3,70,50
2026-05-21T21:56:42Z,web-hpa,2,2,50,0
2026-05-21T21:57:05Z,checkoutservice,1,1,70,12
2026-05-21T21:57:05Z,frontend,3,3,70,59
2026-05-21T21:57:05Z,recommendationservice,3,3,70,50
2026-05-21T21:57:05Z,web-hpa,2,2,50,0
2026-05-21T21:57:22Z,checkoutservice,1,1,70,12
2026-05-21T21:57:22Z,frontend,3,3,70,60
2026-05-21T21:57:22Z,recommendationservice,3,3,70,46
2026-05-21T21:57:22Z,web-hpa,2,2,50,0
2026-05-21T21:57:42Z,checkoutservice,1,1,70,8
2026-05-21T21:57:42Z,frontend,3,3,70,58
2026-05-21T21:57:42Z,recommendationservice,3,3,70,49
