method,path,p50_ms,p95_ms,p99_ms,rps
GET,/,77,2296,2296,1.60
GET,/cart,190,2060,2060,5.80
GET,/product/0PUK6V6EV0,160,2136,2136,3.00
GET,/product/1YMWWN1N4O,160,2436,2436,2.10
GET,/product/2ZYFJ3GM2N,160,2118,2118,1.70
GET,/product/66VCHSJNUP,170,2282,2282,2.80
GET,/product/6E92ZMYYFZ,160,2153,2153,3.00
GET,/product/9SIQT8TOJO,170,2205,2205,2.30
GET,/product/L9ECAV7KIM,160,2221,2221,2.60
GET,/product/LS4PSXUNUM,160,2142,2142,3.10
GET,/product/OLJCESPC7Z,160,2255,2255,1.80
POST,/cart,210,2620,2620,5.60
POST,/cart/checkout,130,2758,2758,1.40
POST,/setCurrency,83,2143,2143,3.00
