method,path,p50_ms,p95_ms,p99_ms,rps
GET,/,3200,8480,8480,24.90
GET,/cart,1500,6079,6079,2.80
GET,/product/0PUK6V6EV0,940,2989,2989,3.40
GET,/product/1YMWWN1N4O,940,3043,3043,4.30
GET,/product/2ZYFJ3GM2N,950,3032,3032,5.40
GET,/product/66VCHSJNUP,950,3030,3030,3.50
GET,/product/6E92ZMYYFZ,940,2937,2937,2.70
GET,/product/9SIQT8TOJO,940,2975,2975,3.10
GET,/product/L9ECAV7KIM,950,2949,2949,4.70
GET,/product/LS4PSXUNUM,950,2809,2809,3.70
GET,/product/OLJCESPC7Z,940,2990,2990,3.60
POST,/cart,1800,7219,7219,5.30
POST,/cart/checkout,1500,6078,6078,1.20
POST,/setCurrency,3200,7671,7671,1.80
