timestamp,service,desired,current,target_cpu,observed_cpu
2026-06-07T15:36:07.514928900Z,recommendationservice,1,1,70,100
2026-06-07T15:36:07.514928900Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.514928900Z,frontend,1,1,70,100
2026-06-07T15:36:07.524046500Z,recommendationservice,8,5,70,76
2026-06-07T15:36:07.524046500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.524046500Z,frontend,8,5,70,76
2026-06-07T15:36:07.541247300Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.541247300Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.541247300Z,frontend,10,10,70,38
2026-06-07T15:36:07.543790100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.543790100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.543790100Z,frontend,10,10,70,38
2026-06-07T15:36:07.545790600Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.545790600Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.545790600Z,frontend,10,10,70,38
2026-06-07T15:36:07.548844900Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.548844900Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.548844900Z,frontend,10,10,70,38
2026-06-07T15:36:07.551325100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.551325100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.551325100Z,frontend,10,10,70,38
2026-06-07T15:36:07.554979100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.554979100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.554979100Z,frontend,10,10,70,38
2026-06-07T15:36:07.557060500Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.557060500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.557060500Z,frontend,10,10,70,38
2026-06-07T15:36:07.559023200Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.559023200Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.559023200Z,frontend,10,10,70,38
2026-06-07T15:36:07.562182300Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.562182300Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.562182300Z,frontend,10,10,70,38
2026-06-07T15:36:07.564182100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.564182100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.564182100Z,frontend,10,10,70,38
2026-06-07T15:36:07.567706400Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.567706400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.567706400Z,frontend,10,10,70,38
2026-06-07T15:36:07.570710400Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.570710400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.570710400Z,frontend,10,10,70,38
2026-06-07T15:36:07.573210800Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.573210800Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.573210800Z,frontend,10,10,70,38
2026-06-07T15:36:07.575278100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.575278100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.575278100Z,frontend,10,10,70,38
2026-06-07T15:36:07.577327700Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.577327700Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.577327700Z,frontend,10,10,70,38
2026-06-07T15:36:07.580459Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.580459Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.580459Z,frontend,10,10,70,38
2026-06-07T15:36:07.582460800Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.582460800Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.582460800Z,frontend,10,10,70,38
2026-06-07T15:36:07.583974100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.583974100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.583974100Z,frontend,10,10,70,38
2026-06-07T15:36:07.585983500Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.585983500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.585983500Z,frontend,10,10,70,38
2026-06-07T15:36:07.587983400Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.587983400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.587983400Z,frontend,10,10,70,38
2026-06-07T15:36:07.589983400Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.589983400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.589983400Z,frontend,10,10,70,38
2026-06-07T15:36:07.592493200Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.592493200Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.592493200Z,frontend,10,10,70,38
2026-06-07T15:36:07.594508300Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.594508300Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.594508300Z,frontend,10,10,70,38
2026-06-07T15:36:07.597146400Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.597146400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.597146400Z,frontend,10,10,70,38
2026-06-07T15:36:07.598722100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.598722100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.598722100Z,frontend,10,10,70,38
2026-06-07T15:36:07.599861200Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.599861200Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.599861200Z,frontend,10,10,70,38
2026-06-07T15:36:07.602784900Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.602784900Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.602784900Z,frontend,10,10,70,38
2026-06-07T15:36:07.603819Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.603819Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.603819Z,frontend,10,10,70,38
2026-06-07T15:36:07.606447300Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.606447300Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.606447300Z,frontend,10,10,70,38
2026-06-07T15:36:07.608447100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.608447100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.608447100Z,frontend,10,10,70,38
2026-06-07T15:36:07.610446300Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.610446300Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.610446300Z,frontend,10,10,70,38
2026-06-07T15:36:07.612445700Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.612445700Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.612445700Z,frontend,10,10,70,38
2026-06-07T15:36:07.612949900Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.612949900Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.612949900Z,frontend,10,10,70,38
2026-06-07T15:36:07.613957300Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.613957300Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.613957300Z,frontend,10,10,70,38
2026-06-07T15:36:07.615471500Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.615471500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.615471500Z,frontend,10,10,70,38
2026-06-07T15:36:07.616490100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.616490100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.616490100Z,frontend,10,10,70,38
2026-06-07T15:36:07.618489Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.618489Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.618489Z,frontend,10,10,70,38
2026-06-07T15:36:07.619522500Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.619522500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.619522500Z,frontend,10,10,70,38
2026-06-07T15:36:07.620543Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.620543Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.620543Z,frontend,10,10,70,38
2026-06-07T15:36:07.622892500Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.622892500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.622892500Z,frontend,10,10,70,38
2026-06-07T15:36:07.623917600Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.623917600Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.623917600Z,frontend,10,10,70,38
2026-06-07T15:36:07.626436400Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.626436400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.626436400Z,frontend,10,10,70,38
2026-06-07T15:36:07.627437800Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.627437800Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.627437800Z,frontend,10,10,70,38
2026-06-07T15:36:07.629631600Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.629631600Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.629631600Z,frontend,10,10,70,38
2026-06-07T15:36:07.631630100Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.631630100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.631630100Z,frontend,10,10,70,38
2026-06-07T15:36:07.632630Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.632630Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.632630Z,frontend,10,10,70,38
2026-06-07T15:36:07.633135400Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.633135400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.633135400Z,frontend,10,10,70,38
2026-06-07T15:36:07.634141600Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.634141600Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.634141600Z,frontend,10,10,70,38
2026-06-07T15:36:07.634141600Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.634141600Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.634141600Z,frontend,10,10,70,38
2026-06-07T15:36:07.637000500Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.637000500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.637000500Z,frontend,10,10,70,38
2026-06-07T15:36:07.638736300Z,recommendationservice,10,10,70,38
2026-06-07T15:36:07.638736300Z,checkoutservice,1,1,70,40
2026-06-07T15:36:07.638736300Z,frontend,10,10,70,38
