method,path,p50_ms,p95_ms,p99_ms,rps
GET,/,180.0,1966.0,1966.0,4.4
GET,/cart,610.0,2263.0,2263.0,13.7
POST,/cart,670.0,2297.0,2297.0,12.3
POST,/cart/checkout,630.0,2228.0,2228.0,3.8
GET,/product/0PUK6V6EV0,600.0,2222.0,2222.0,4.9
GET,/product/1YMWWN1N4O,610.0,2093.0,2093.0,6.2
GET,/product/2ZYFJ3GM2N,610.0,2147.0,2147.0,6.3
GET,/product/66VCHSJNUP,610.0,2050.0,2050.0,6.0
GET,/product/6E92ZMYYFZ,610.0,2098.0,2098.0,6.2
GET,/product/9SIQT8TOJO,610.0,2090.0,2090.0,6.3
GET,/product/L9ECAV7KIM,610.0,2201.0,2201.0,8.2
GET,/product/LS4PSXUNUM,610.0,2216.0,2216.0,7.2
GET,/product/OLJCESPC7Z,610.0,2141.0,2141.0,6.3
POST,/setCurrency,170.0,1903.0,1903.0,7.2
