timestamp,service,desired,current,target_cpu,observed_cpu
2026-06-07T15:36:02.751412600Z,recommendationservice,1,1,70,100
2026-06-07T15:36:02.751412600Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.751412600Z,frontend,1,1,70,100
2026-06-07T15:36:02.761258500Z,recommendationservice,8,5,70,36
2026-06-07T15:36:02.761258500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.761258500Z,frontend,8,5,70,76
2026-06-07T15:36:02.775412100Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.775412100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.775412100Z,frontend,10,10,70,38
2026-06-07T15:36:02.777427100Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.777427100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.777427100Z,frontend,10,10,70,38
2026-06-07T15:36:02.780018600Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.780018600Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.780018600Z,frontend,10,10,70,38
2026-06-07T15:36:02.783733500Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.783733500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.783733500Z,frontend,10,10,70,38
2026-06-07T15:36:02.786972400Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.786972400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.786972400Z,frontend,10,10,70,38
2026-06-07T15:36:02.789970400Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.789970400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.789970400Z,frontend,10,10,70,38
2026-06-07T15:36:02.792487700Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.792487700Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.792487700Z,frontend,10,10,70,38
2026-06-07T15:36:02.795010700Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.795010700Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.795010700Z,frontend,10,10,70,38
2026-06-07T15:36:02.796018700Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.796018700Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.796018700Z,frontend,10,10,70,38
2026-06-07T15:36:02.798535700Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.798535700Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.798535700Z,frontend,10,10,70,38
2026-06-07T15:36:02.800535400Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.800535400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.800535400Z,frontend,10,10,70,38
2026-06-07T15:36:02.802536400Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.802536400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.802536400Z,frontend,10,10,70,38
2026-06-07T15:36:02.804050700Z,recommendationservice,10,10,70,18
