pod,namespace,node,phase,ip
frontend-0,default,worker-1,RUNNING,10.0.0.0
cartservice-0,default,worker-2,RUNNING,10.0.0.1
productcatalogservice-0,default,worker-3,RUNNING,10.0.0.2
currencyservice-0,default,worker-4,RUNNING,10.0.0.3
paymentservice-0,default,worker-1,RUNNING,10.0.0.4
shippingservice-0,default,worker-2,RUNNING,10.0.0.5
emailservice-0,default,worker-3,RUNNING,10.0.0.6
checkoutservice-0,default,worker-4,RUNNING,10.0.0.7
recommendationservice-0,default,worker-1,RUNNING,10.0.0.8
adservice-0,default,worker-2,RUNNING,10.0.0.9
redis-cart-0,default,worker-3,RUNNING,10.0.0.10
frontend-1,default,worker-4,RUNNING,10.0.0.11
recommendationservice-1,default,worker-4,RUNNING,10.0.0.12
frontend-2,default,worker-3,RUNNING,10.0.0.13
recommendationservice-2,default,worker-2,RUNNING,10.0.0.14
frontend-3,default,worker-1,RUNNING,10.0.0.15
frontend-4,default,pending,PENDING,10.0.0.16
recommendationservice-3,default,pending,PENDING,10.0.0.17
recommendationservice-4,default,pending,PENDING,10.0.0.18
frontend-5,default,pending,PENDING,10.0.0.19
frontend-6,default,pending,PENDING,10.0.0.20
frontend-7,default,pending,PENDING,10.0.0.21
recommendationservice-5,default,pending,PENDING,10.0.0.22
recommendationservice-6,default,pending,PENDING,10.0.0.23
recommendationservice-7,default,pending,PENDING,10.0.0.24
frontend-8,default,pending,PENDING,10.0.0.25
frontend-9,default,pending,PENDING,10.0.0.26
recommendationservice-8,default,pending,PENDING,10.0.0.27
recommendationservice-9,default,pending,PENDING,10.0.0.28
