timestamp,service,desired,current,target_cpu,observed_cpu
2026-06-07T15:35:58.425575500Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.425575500Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.425575500Z,frontend,3,3,70,26
2026-06-07T15:35:58.428518600Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.428518600Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.428518600Z,frontend,3,3,70,26
2026-06-07T15:35:58.431708400Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.431708400Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.431708400Z,frontend,3,3,70,26
2026-06-07T15:35:58.433995Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.433995Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.433995Z,frontend,3,3,70,26
2026-06-07T15:35:58.436021600Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.436021600Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.436021600Z,frontend,3,3,70,26
2026-06-07T15:35:58.438023400Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.438023400Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.438023400Z,frontend,3,3,70,26
2026-06-07T15:35:58.440023300Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.440023300Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.440023300Z,frontend,3,3,70,26
2026-06-07T15:35:58.441022Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.441022Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.441022Z,frontend,3,3,70,26
2026-06-07T15:35:58.444545500Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.444545500Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.444545500Z,frontend,3,3,70,26
2026-06-07T15:35:58.447674200Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.447674200Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.447674200Z,frontend,3,3,70,26
2026-06-07T15:35:58.449671800Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.449671800Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.449671800Z,frontend,3,3,70,26
2026-06-07T15:35:58.450671300Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.450671300Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.450671300Z,frontend,3,3,70,26
2026-06-07T15:35:58.452671500Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.452671500Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.452671500Z,frontend,3,3,70,26
2026-06-07T15:35:58.454185500Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.454185500Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.454185500Z,frontend,3,3,70,26
2026-06-07T15:35:58.456192200Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.456192200Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.456192200Z,frontend,3,3,70,26
2026-06-07T15:35:58.458230300Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.458230300Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.458230300Z,frontend,3,3,70,26
2026-06-07T15:35:58.460229200Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.460229200Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.460229200Z,frontend,3,3,70,26
2026-06-07T15:35:58.461568700Z,recommendationservice,3,3,70,85
