method,path,p50_ms,p95_ms,p99_ms,rps
GET,/frontend,2.816,11.217,18.209,237.12
GET,/cartservice,1.761,7.918,11.893,92.20
GET,/productcatalogservice,1.702,7.540,11.436,70.05
GET,/currencyservice,1.799,7.923,12.843,41.00
GET,/paymentservice,1.718,8.030,12.505,41.00
GET,/shippingservice,1.841,8.213,14.488,41.00
GET,/emailservice,1.714,8.282,11.887,20.50
GET,/checkoutservice,1.526,6.575,10.049,27.84
GET,/recommendationservice,1.831,7.099,11.755,348.50
GET,/adservice,2.044,8.213,11.673,41.00
GET,/redis-cart,1.823,7.741,12.394,20.50
