pod,kss_node,sim_node,category
rq1-s000,worker-1,worker-1,MATCH
rq1-s001,worker-1,worker-1,MATCH
rq1-s002,worker-3,worker-3,MATCH
rq1-s003,worker-2,worker-2,MATCH
rq1-s004,worker-2,worker-1,DIFFER
rq1-s005,worker-3,worker-3,MATCH
rq1-s006,worker-3,worker-3,MATCH
rq1-s007,worker-3,worker-3,MATCH
rq1-s008,worker-1,worker-1,MATCH
rq1-s009,worker-2,worker-1,DIFFER
rq1-s010,worker-3,worker-3,MATCH
rq1-s011,worker-1,worker-1,MATCH
rq1-s012,worker-2,worker-2,MATCH
rq1-s013,worker-3,worker-3,MATCH
rq1-s014,worker-1,worker-1,MATCH
rq1-s015,worker-1,worker-1,MATCH
rq1-s016,worker-3,worker-3,MATCH
rq1-s017,worker-3,worker-3,MATCH
rq1-s018,worker-2,worker-1,DIFFER
rq1-s019,worker-2,worker-1,DIFFER
rq1-s020,worker-2,worker-1,DIFFER
rq1-s021,worker-3,worker-3,MATCH
rq1-s022,worker-1,worker-1,MATCH
rq1-s023,worker-3,worker-3,MATCH
rq1-s024,worker-2,worker-2,MATCH
rq1-s025,worker-2,worker-1,DIFFER
rq1-s026,worker-2,worker-1,DIFFER
rq1-s027,worker-1,worker-1,MATCH
rq1-s028,worker-3,worker-3,MATCH
rq1-s029,worker-1,worker-1,MATCH
rq1-s030,worker-3,worker-3,MATCH
rq1-s031,worker-3,worker-3,MATCH
rq1-s032,worker-2,worker-1,DIFFER
rq1-s033,worker-3,worker-3,MATCH
rq1-s034,worker-3,worker-3,MATCH
rq1-s035,worker-3,worker-3,MATCH
rq1-s036,worker-3,worker-3,MATCH
rq1-s037,worker-2,worker-2,MATCH
rq1-s038,worker-1,worker-1,MATCH
rq1-s039,worker-2,worker-1,DIFFER
rq1-s040,worker-3,worker-3,MATCH
rq1-s041,worker-1,worker-1,MATCH
rq1-s042,worker-3,worker-3,MATCH
rq1-s043,worker-2,worker-1,DIFFER
rq1-s044,worker-3,worker-3,MATCH
rq1-s045,worker-3,worker-3,MATCH
rq1-s046,worker-2,worker-1,DIFFER
rq1-s047,worker-2,worker-1,DIFFER
rq1-s048,worker-2,worker-2,MATCH
rq1-s049,worker-2,worker-1,DIFFER
rq1-s050,worker-3,worker-3,MATCH
rq1-s051,worker-3,worker-3,MATCH
rq1-s052,worker-3,worker-3,MATCH
rq1-s053,worker-2,worker-1,DIFFER
rq1-s054,worker-3,worker-3,MATCH
rq1-s055,worker-2,worker-1,DIFFER
rq1-s056,worker-1,worker-1,MATCH
rq1-s057,worker-2,worker-2,MATCH
rq1-s058,worker-2,worker-2,MATCH
rq1-s059,worker-3,worker-3,MATCH
rq1-s060,worker-3,worker-3,MATCH
rq1-s061,worker-1,worker-1,MATCH
rq1-s062,worker-3,worker-3,MATCH
rq1-s063,worker-1,worker-1,MATCH
rq1-s064,worker-1,worker-1,MATCH
rq1-s065,worker-1,worker-1,MATCH
rq1-s066,worker-3,worker-3,MATCH
rq1-s067,worker-3,worker-3,MATCH
rq1-s068,worker-2,worker-2,MATCH
rq1-s069,worker-3,worker-3,MATCH
