Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778796898,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778796899,20,,Aggregated,0.000000,0.000000,9,69,72,74,75,76,83,83,83,83,83,49,0,9,34.36442683522152,6.840138987172395,83.43072299612686,3.0
1778796900,40,,Aggregated,0.000000,0.000000,10,15,51,61,73,75,76,78,83,83,83,128,0,10,26.507548845984275,6.55421701958403,83.43072299612686,3.0
1778796901,60,,Aggregated,45.000000,0.000000,10,18,48,60,74,79,88,95,96,96,96,242,0,10,26.59084240247857,6.55421701958403,96.02215199265629,3.0
1778796902,80,,Aggregated,61.000000,0.000000,13,20,39,52,74,81,93,97,130,130,130,395,0,13,26.42985169931987,6.55421701958403,126.50949700037017,3.0
1778796903,100,,Aggregated,78.666667,0.000000,14,23,44,57,75,83,95,100,130,130,130,578,0,14,28.522598405008505,6.5446170046925545,129.34060103725642,3.0
1778796904,120,,Aggregated,97.500000,0.000000,17,28,49,61,78,92,110,140,190,190,190,799,0,17,31.91749476119573,6.5446170046925545,190.27484895195812,3.0
1778796905,140,,Aggregated,112.200000,0.000000,19,32,52,65,82,95,120,140,1100,1100,1100,1029,0,19,35.88614930550136,6.538297049701214,1097.116431046743,3.0
1778796906,160,,Aggregated,131.166667,0.000000,24,48,62,70,88,99,130,150,1100,1100,1100,1295,0,24,42.44519961731775,6.538297049701214,1126.0626419680193,3.0
1778796907,180,,Aggregated,144.714286,0.000000,31,59,71,77,96,120,150,180,1100,1100,1100,1559,0,31,49.65144897276605,6.538297049701214,1126.0626419680193,3.0
1778796908,200,,Aggregated,159.125000,0.000000,48,71,83,93,140,180,210,1100,1200,1200,1200,1833,0,48,68.48862228393799,6.538297049701214,1227.0239570061676,3.0
1778796909,220,,Aggregated,171.444444,0.000000,59,80,96,110,180,230,360,1100,1200,1200,1200,2110,0,59,83.80006822496453,6.538297049701214,1234.0431779739447,3.0
1778796910,240,,Aggregated,181.000000,0.000000,66,91,110,130,220,310,420,1100,1400,2200,2200,2396,0,66,103.86034456642484,6.538297049701214,2181.7856340203434,3.0
1778796911,260,,Aggregated,203.600000,0.000000,72,98,130,160,250,330,1100,1200,2300,2300,2300,2695,2,72,125.57832548152466,6.538297049701214,2297.3521549720317,2.997773654916512
1778796912,280,,Aggregated,224.300000,0.000000,78,110,150,190,280,370,1100,1300,2300,2400,2400,2993,5,78,145.76901000510713,6.538297049701214,2392.483340052422,2.994988306047444
1778796913,300,,Aggregated,242.400000,0.100000,81,110,170,210,340,700,1200,1400,2300,2600,2600,3295,15,81,169.82915818105468,6.538297049701214,2586.2415399751626,2.9863429438543245
1778796914,320,,Aggregated,256.500000,0.400000,86,120,200,250,510,1100,1300,1600,2400,2600,2600,3584,15,86,198.66756070075553,6.538297049701214,2586.2415399751626,2.9874441964285716
1778796915,340,,Aggregated,269.600000,1.300000,88,130,210,280,650,1100,1400,1700,2400,2600,2600,3854,17,88,220.0020761656216,6.538297049701214,2586.2415399751626,2.986766995329528
1778796916,360,,Aggregated,275.400000,1.500000,90,140,240,320,690,1100,1500,2000,3300,4800,4800,3954,17,90,243.69129673913784,6.538297049701214,4774.341948039364,2.9871016691957513
1778796917,380,,Aggregated,282.200000,1.700000,93,160,260,350,800,1400,2200,2400,2700,4800,4800,4134,17,93,292.9626861300916,6.538297049701214,4774.341948039364,2.9876632801161103
1778796918,400,,Aggregated,263.000000,1.700000,96,170,280,370,840,1600,2300,2600,3300,4800,4800,4253,17,96,316.1874471207167,6.538297049701214,4774.341948039364,2.9880084646132143
1778796919,420,,Aggregated,255.400000,1.700000,100,190,320,450,1200,2400,3100,3200,3300,4800,4800,4492,17,100.0,400.7098951043771,6.538297049701214,4774.341948039364,2.988646482635797
1778796920,440,,Aggregated,236.600000,1.700000,110,190,320,490,1300,2800,3100,3200,3300,4800,4800,4739,17,110.0,427.2432865877331,6.538297049701214,4774.341948039364,2.98923823591475
1778796921,460,,Aggregated,231.100000,1.700000,110,180,310,470,1400,2900,3200,3300,4100,4800,4800,4999,17,110.0,444.62415798410325,6.538297049701214,4774.341948039364,2.989797959591918
1778796922,480,,Aggregated,226.100000,1.700000,110,180,300,450,1500,3000,3300,4100,4700,4800,4800,5251,17,110.0,465.6367444991649,6.538297049701214,4801.949147018604,2.990287564273472
1778796923,500,,Aggregated,220.500000,1.600000,120,170,290,430,1500,3000,4000,4500,5000,5000,5000,5501,17,120.0,483.49746576118184,6.538297049701214,4989.453572023194,2.9907289583712053
1778796924,520,,Aggregated,216.700000,1.300000,120,170,280,420,1700,3100,4400,4900,5600,5700,5700,5741,17,120.0,509.6416511235007,6.538297049701214,5674.876953999046,2.9911165302212157
1778796925,540,,Aggregated,210.500000,0.400000,130,170,270,410,1800,3100,4600,5400,6300,6500,6500,6002,17,130.0,530.9809069649906,6.538297049701214,6480.661459034309,2.9915028323892034
1778796926,560,,Aggregated,206.500000,0.200000,130,170,270,420,2200,3200,5400,6100,6500,6500,6500,6262,17,130.0,577.7650600642443,6.538297049701214,6499.860785028432,2.991855637176621
1778796927,580,,Aggregated,200.800000,0.000000,130,170,270,420,2200,3300,5900,6300,6500,6600,6600,6514,17,130.0,608.6993219894325,6.538297049701214,6591.505339951254,2.992170709241633
1778796928,600,,Aggregated,219.300000,0.000000,130,170,260,410,2200,4100,6200,6400,6900,7000,7000,6776,17,130.0,625.3727852570578,6.538297049701214,6992.900858982466,2.992473435655254
1778796929,620,,Aggregated,225.200000,0.000000,130,170,250,400,2300,4100,6300,6500,7000,7200,7200,7025,17,130.0,639.8728391904802,6.538297049701214,7167.131248977967,2.9927402135231316
1778796930,640,,Aggregated,241.000000,0.000000,140,170,240,390,2300,4400,6400,6800,7700,7800,7800,7278,17,140.0,655.3860065457069,6.538297049701214,7828.370540984906,2.992992580379225
1778796931,660,,Aggregated,245.300000,0.000000,140,170,230,390,2300,4600,6400,7000,8200,8400,8400,7523,17,140.0,673.7033249540625,6.538297049701214,8364.943031978328,2.9932207895786256
1778796932,680,,Aggregated,246.000000,0.000000,140,170,240,390,2300,4700,6500,7400,8500,8900,8900,7652,17,140.0,687.8616083427298,6.538297049701214,8943.941892008297,2.993335075797177
1778796933,700,,Aggregated,246.900000,0.000000,140,170,260,400,2500,5000,6900,7900,9900,10000,10000,7750,26,140.0,727.5954742558438,6.538297049701214,10008.714322000742,2.9899354838709677
1778796935,720,,Aggregated,229.000000,0.000000,140,170,280,510,3000,6300,8800,9100,9900,10000,10000,7999,26,140.0,857.9662057786322,6.538297049701214,10008.714322000742,2.990248781097637
1778796936,740,,Aggregated,214.500000,0.900000,140,170,280,530,3100,6400,8800,9100,9900,10000,10000,8254,26,140.0,899.554803796655,6.538297049701214,10008.714322000742,2.990550036346014
1778796937,760,,Aggregated,215.400000,0.900000,140,170,280,530,3100,6800,8800,9100,9900,10000,10000,8507,26,140.0,937.7436237707772,6.538297049701214,10008.714322000742,2.9908310802868225
1778796938,780,,Aggregated,214.000000,0.900000,140,170,270,510,3100,6900,8900,9100,9900,10000,10000,8754,26,140.0,947.095662960361,6.538297049701214,10008.714322000742,2.9910897875257025
1778796939,800,,Aggregated,213.400000,0.900000,140,170,270,520,3200,7600,9000,9200,9800,10000,10000,9014,26,140.0,983.1843425670355,6.538297049701214,10008.714322000742,2.9913467938761924
1778796940,820,,Aggregated,213.600000,0.900000,140,170,260,530,3300,8200,9000,9300,9800,10000,10000,9246,26,140.0,1012.1520225362788,6.538297049701214,10008.714322000742,2.991563919532771
1778796941,840,,Aggregated,213.100000,0.900000,140,170,270,530,4000,8600,9100,9300,9800,10000,10000,9487,26,140.0,1041.502398575329,6.538297049701214,10008.714322000742,2.991778222831243
1778796942,860,,Aggregated,213.600000,0.900000,140,170,260,520,4100,8700,9200,9400,10000,10000,10000,9753,26,140.0,1058.8376530631908,6.538297049701214,10141.730035014916,2.9920024607812983
1778796943,880,,Aggregated,211.400000,0.900000,140,170,250,510,4200,8800,9300,9700,11000,11000,11000,10000,26,140.0,1078.0452067193005,6.538297049701214,10863.942294963636,2.9922
