timestamp,node,cpuUsed,cpuPct,memUsed,memPct
2026-05-14T23:14:51+01:00,k3s-server,27m,2%,998Mi,16%
2026-05-14T23:14:51+01:00,k3s-worker-1,13m,1%,648Mi,10%
2026-05-14T23:14:51+01:00,k3s-worker-2,8m,0%,629Mi,10%
2026-05-14T23:14:51+01:00,k3s-worker-3,7m,0%,607Mi,10%
2026-05-14T23:14:57+01:00,k3s-server,35m,3%,998Mi,16%
2026-05-14T23:14:57+01:00,k3s-worker-1,16m,1%,649Mi,10%
2026-05-14T23:14:57+01:00,k3s-worker-2,7m,0%,629Mi,10%
2026-05-14T23:14:57+01:00,k3s-worker-3,5m,0%,607Mi,10%
2026-05-14T23:15:14+01:00,k3s-server,393m,39%,996Mi,16%
2026-05-14T23:15:14+01:00,k3s-worker-1,218m,21%,649Mi,10%
2026-05-14T23:15:14+01:00,k3s-worker-2,389m,38%,676Mi,11%
2026-05-14T23:15:14+01:00,k3s-worker-3,11m,1%,607Mi,10%
2026-05-14T23:15:20+01:00,k3s-server,393m,39%,996Mi,16%
2026-05-14T23:15:20+01:00,k3s-worker-1,218m,21%,649Mi,10%
2026-05-14T23:15:20+01:00,k3s-worker-2,389m,38%,676Mi,11%
2026-05-14T23:15:20+01:00,k3s-worker-3,11m,1%,607Mi,10%
2026-05-14T23:15:26+01:00,k3s-server,393m,39%,996Mi,16%
2026-05-14T23:15:26+01:00,k3s-worker-1,218m,21%,649Mi,10%
2026-05-14T23:15:26+01:00,k3s-worker-2,389m,38%,676Mi,11%
2026-05-14T23:15:26+01:00,k3s-worker-3,11m,1%,607Mi,10%
2026-05-14T23:15:34+01:00,k3s-server,654m,65%,996Mi,16%
2026-05-14T23:15:34+01:00,k3s-worker-1,305m,30%,649Mi,10%
2026-05-14T23:15:34+01:00,k3s-worker-2,755m,75%,705Mi,11%
2026-05-14T23:15:34+01:00,k3s-worker-3,14m,1%,607Mi,10%
2026-05-14T23:15:41+01:00,k3s-server,654m,65%,996Mi,16%
2026-05-14T23:15:41+01:00,k3s-worker-1,305m,30%,649Mi,10%
2026-05-14T23:15:41+01:00,k3s-worker-2,755m,75%,705Mi,11%
2026-05-14T23:15:41+01:00,k3s-worker-3,14m,1%,607Mi,10%
2026-05-14T23:15:47+01:00,k3s-server,636m,63%,1015Mi,17%
2026-05-14T23:15:47+01:00,k3s-worker-1,309m,30%,668Mi,11%
2026-05-14T23:15:47+01:00,k3s-worker-2,802m,80%,739Mi,12%
2026-05-14T23:15:47+01:00,k3s-worker-3,27m,2%,607Mi,10%
2026-05-14T23:15:56+01:00,k3s-server,546m,54%,1018Mi,17%
2026-05-14T23:15:56+01:00,k3s-worker-1,226m,22%,667Mi,11%
2026-05-14T23:15:56+01:00,k3s-worker-2,810m,81%,772Mi,13%
2026-05-14T23:15:56+01:00,k3s-worker-3,14m,1%,608Mi,10%
2026-05-14T23:16:04+01:00,k3s-server,546m,54%,1018Mi,17%
2026-05-14T23:16:04+01:00,k3s-worker-1,226m,22%,667Mi,11%
2026-05-14T23:16:04+01:00,k3s-worker-2,810m,81%,772Mi,13%
2026-05-14T23:16:04+01:00,k3s-worker-3,14m,1%,608Mi,10%
2026-05-14T23:16:10+01:00,k3s-server,546m,54%,1018Mi,17%
2026-05-14T23:16:10+01:00,k3s-worker-1,226m,22%,667Mi,11%
2026-05-14T23:16:10+01:00,k3s-worker-2,810m,81%,772Mi,13%
2026-05-14T23:16:10+01:00,k3s-worker-3,14m,1%,608Mi,10%
2026-05-14T23:16:18+01:00,k3s-server,504m,50%,1018Mi,17%
2026-05-14T23:16:18+01:00,k3s-worker-1,209m,20%,667Mi,11%
2026-05-14T23:16:18+01:00,k3s-worker-2,821m,82%,770Mi,13%
2026-05-14T23:16:18+01:00,k3s-worker-3,10m,1%,608Mi,10%
2026-05-14T23:16:23+01:00,k3s-server,504m,50%,1018Mi,17%
2026-05-14T23:16:23+01:00,k3s-worker-1,209m,20%,667Mi,11%
2026-05-14T23:16:23+01:00,k3s-worker-2,821m,82%,770Mi,13%
2026-05-14T23:16:23+01:00,k3s-worker-3,10m,1%,608Mi,10%
2026-05-14T23:16:29+01:00,k3s-server,493m,49%,1019Mi,17%
2026-05-14T23:16:29+01:00,k3s-worker-1,209m,20%,667Mi,11%
2026-05-14T23:16:29+01:00,k3s-worker-2,821m,82%,770Mi,13%
2026-05-14T23:16:29+01:00,k3s-worker-3,6m,0%,609Mi,10%
2026-05-14T23:16:35+01:00,k3s-server,493m,49%,1019Mi,17%
2026-05-14T23:16:35+01:00,k3s-worker-1,209m,20%,667Mi,11%
2026-05-14T23:16:35+01:00,k3s-worker-2,821m,82%,770Mi,13%
2026-05-14T23:16:35+01:00,k3s-worker-3,6m,0%,609Mi,10%
2026-05-14T23:16:46+01:00,k3s-server,502m,50%,1019Mi,17%
2026-05-14T23:16:46+01:00,k3s-worker-1,207m,20%,667Mi,11%
