timestamp,podName,cpu,memory
2026-05-14T23:14:45+01:00,web-6dfb8f7c74-9brb4,1m,14Mi
2026-05-14T23:14:45+01:00,web-6dfb8f7c74-lmhjz,1m,14Mi
2026-05-14T23:14:51+01:00,web-6dfb8f7c74-9brb4,1m,14Mi
2026-05-14T23:14:51+01:00,web-6dfb8f7c74-lmhjz,1m,14Mi
2026-05-14T23:14:57+01:00,web-6dfb8f7c74-9brb4,1m,14Mi
2026-05-14T23:14:57+01:00,web-6dfb8f7c74-lmhjz,1m,14Mi
2026-05-14T23:15:13+01:00,locust-driver-fvths,697m,47Mi
2026-05-14T23:15:13+01:00,web-6dfb8f7c74-9brb4,169m,14Mi
2026-05-14T23:15:13+01:00,web-6dfb8f7c74-lmhjz,119m,14Mi
2026-05-14T23:15:19+01:00,locust-driver-fvths,697m,47Mi
2026-05-14T23:15:19+01:00,web-6dfb8f7c74-9brb4,169m,14Mi
2026-05-14T23:15:19+01:00,web-6dfb8f7c74-lmhjz,119m,14Mi
2026-05-14T23:15:25+01:00,locust-driver-fvths,697m,47Mi
2026-05-14T23:15:25+01:00,web-6dfb8f7c74-9brb4,169m,14Mi
2026-05-14T23:15:25+01:00,web-6dfb8f7c74-lmhjz,119m,14Mi
2026-05-14T23:15:33+01:00,locust-driver-fvths,670m,59Mi
2026-05-14T23:15:33+01:00,web-6dfb8f7c74-9brb4,290m,14Mi
2026-05-14T23:15:33+01:00,web-6dfb8f7c74-lmhjz,329m,14Mi
2026-05-14T23:15:33+01:00,web-6dfb8f7c74-zjt2v,234m,14Mi
2026-05-14T23:15:40+01:00,locust-driver-fvths,670m,59Mi
2026-05-14T23:15:40+01:00,web-6dfb8f7c74-9brb4,290m,14Mi
2026-05-14T23:15:40+01:00,web-6dfb8f7c74-lmhjz,329m,14Mi
2026-05-14T23:15:40+01:00,web-6dfb8f7c74-zjt2v,234m,14Mi
2026-05-14T23:15:46+01:00,locust-driver-fvths,672m,71Mi
2026-05-14T23:15:46+01:00,web-6dfb8f7c74-2zdw6,123m,13Mi
2026-05-14T23:15:46+01:00,web-6dfb8f7c74-66b47,128m,14Mi
2026-05-14T23:15:46+01:00,web-6dfb8f7c74-7m4cb,154m,14Mi
2026-05-14T23:15:46+01:00,web-6dfb8f7c74-9brb4,194m,14Mi
2026-05-14T23:15:46+01:00,web-6dfb8f7c74-lmhjz,238m,14Mi
2026-05-14T23:15:46+01:00,web-6dfb8f7c74-zjt2v,233m,14Mi
2026-05-14T23:15:55+01:00,locust-driver-fvths,672m,71Mi
2026-05-14T23:15:55+01:00,web-6dfb8f7c74-2zdw6,123m,13Mi
