timestamp,container,lowerBound_m,target_m,upperBound_m,uncapped_target_m
2026-05-20T21:24:03.5804544+01:00,burn,448,587,84834,587
2026-05-20T21:24:34.0768557+01:00,burn,459,587,77198,587
2026-05-20T21:25:04.3878842+01:00,burn,459,587,77198,587
2026-05-20T21:25:34.8452016+01:00,burn,468,587,70831,587
2026-05-20T21:26:05.1977589+01:00,burn,468,587,70831,587
2026-05-20T21:26:35.5004873+01:00,burn,477,587,64704,587
2026-05-20T21:27:05.8325300+01:00,burn,477,587,64704,587
2026-05-20T21:27:36.1966813+01:00,burn,483,587,60606,587
2026-05-20T21:28:06.5361000+01:00,burn,483,587,60606,587
2026-05-20T21:28:37.0142839+01:00,burn,489,587,56258,587
2026-05-20T21:29:07.6219339+01:00,burn,489,587,56258,587
2026-05-20T21:29:37.9831972+01:00,burn,494,587,52872,587
2026-05-20T21:30:08.3332534+01:00,burn,494,587,52872,587
2026-05-20T21:30:38.6673126+01:00,burn,499,587,49874,587
2026-05-20T21:31:09.0999699+01:00,burn,499,587,49874,587
