serviceRequest,startTime,duration,status
web,1.000,0.014000,OK
web,1.028,0.014000,OK
web,1.056,0.014000,OK
web,1.084,0.014000,OK
web,1.112,0.014000,OK
web,1.140,0.014000,OK
web,1.168,0.014000,OK
web,1.196,0.014000,OK
web,1.224,0.014000,OK
web,1.252,0.014000,OK
web,1.280,0.014000,OK
web,1.308,0.014000,OK
web,1.336,0.014000,OK
web,1.364,0.014000,OK
web,1.392,0.014000,OK
web,1.420,0.014000,OK
web,1.448,0.014000,OK
web,1.476,0.014000,OK
web,1.504,0.014000,OK
web,1.532,0.014000,OK
web,1.560,0.014000,OK
web,1.588,0.014000,OK
web,1.616,0.014000,OK
web,1.644,0.014000,OK
web,1.672,0.014000,OK
web,1.700,0.014000,OK
web,1.728,0.014000,OK
web,1.756,0.014000,OK
web,1.784,0.014000,OK
web,1.812,0.014000,OK
web,1.840,0.014000,OK
web,1.868,0.014000,OK
web,1.896,0.014000,OK
web,1.924,0.014000,OK
web,1.952,0.014000,OK
web,1.980,0.014000,OK
web,2.008,0.014000,OK
web,2.036,0.014000,OK
web,2.064,0.014000,OK
web,2.092,0.014000,OK
web,2.120,0.014000,OK
web,2.148,0.014000,OK
web,2.176,0.014000,OK
web,2.204,0.014000,OK
web,2.232,0.014000,OK
web,2.260,0.014000,OK
web,2.288,0.014000,OK
web,2.316,0.014000,OK
web,2.344,0.014000,OK
web,2.372,0.014000,OK
web,2.400,0.014000,OK
web,2.428,0.014000,OK
web,2.456,0.014000,OK
web,2.484,0.014000,OK
web,2.512,0.014000,OK
web,2.540,0.014000,OK
web,2.568,0.014000,OK
web,2.596,0.014000,OK
web,2.624,0.014000,OK
web,2.652,0.014000,OK
web,2.680,0.014000,OK
web,2.708,0.014000,OK
web,2.736,0.014000,OK
web,2.764,0.014000,OK
web,2.792,0.014000,OK
web,2.820,0.014000,OK
web,2.848,0.014000,OK
web,2.876,0.014000,OK
web,2.904,0.014000,OK
web,2.932,0.014000,OK
web,2.960,0.014000,OK
web,2.988,0.014000,OK
web,3.016,0.014000,OK
web,3.044,0.014000,OK
web,3.072,0.014000,OK
